entity_id,state,last_changed
sensor.exit_beamsensor_min_ms,1882,2024-12-29T00:40:54.144Z
sensor.exit_beamsensor_min_ms,1846,2024-12-29T00:41:26.385Z
sensor.exit_beamsensor_min_ms,2311,2024-12-29T00:42:10.805Z
sensor.exit_beamsensor_min_ms,2837,2024-12-29T00:42:22.379Z
sensor.exit_beamsensor_min_ms,3124,2024-12-29T00:42:46.353Z
sensor.exit_beamsensor_min_ms,2778,2024-12-29T00:42:58.722Z
sensor.exit_beamsensor_min_ms,2684,2024-12-29T00:43:07.890Z
sensor.exit_beamsensor_min_ms,2474,2024-12-29T00:43:17.392Z
sensor.exit_beamsensor_min_ms,2095,2024-12-29T00:43:26.971Z
sensor.exit_beamsensor_min_ms,2411,2024-12-29T00:44:07.607Z
sensor.exit_beamsensor_min_ms,1909,2024-12-29T00:44:16.446Z
sensor.exit_beamsensor_min_ms,2778,2024-12-29T00:45:21.059Z
sensor.exit_beamsensor_min_ms,36,2024-12-29T00:45:21.380Z
sensor.exit_beamsensor_min_ms,2523,2024-12-29T00:46:41.603Z
sensor.exit_beamsensor_min_ms,1843,2024-12-29T00:46:49.954Z
sensor.exit_beamsensor_min_ms,2214,2024-12-29T00:47:32.229Z
sensor.exit_beamsensor_min_ms,2742,2024-12-29T00:47:46.596Z
sensor.exit_beamsensor_min_ms,3894,2024-12-29T00:48:03.868Z
sensor.exit_beamsensor_min_ms,2994,2024-12-29T00:48:24.409Z
sensor.exit_beamsensor_min_ms,3928,2024-12-29T00:49:02.635Z
sensor.exit_beamsensor_min_ms,3215,2024-12-29T00:49:09.672Z
sensor.exit_beamsensor_min_ms,2499,2024-12-29T00:49:20.937Z
sensor.exit_beamsensor_min_ms,1970,2024-12-29T00:50:00.849Z
sensor.exit_beamsensor_min_ms,2372,2024-12-29T00:50:39.204Z
sensor.exit_beamsensor_min_ms,2623,2024-12-29T00:51:08.684Z
sensor.exit_beamsensor_min_ms,2935,2024-12-29T00:51:47.302Z
sensor.exit_beamsensor_min_ms,2566,2024-12-29T00:51:59.182Z
sensor.exit_beamsensor_min_ms,1908,2024-12-29T00:52:08.806Z
sensor.exit_beamsensor_min_ms,501,2024-12-29T00:52:28.863Z
sensor.exit_beamsensor_min_ms,2831,2024-12-29T00:52:57.700Z
sensor.exit_beamsensor_min_ms,2946,2024-12-29T00:53:17.461Z
sensor.exit_beamsensor_min_ms,2739,2024-12-29T00:53:27.734Z
sensor.exit_beamsensor_min_ms,3298,2024-12-29T00:54:09.778Z
sensor.exit_beamsensor_min_ms,2640,2024-12-29T00:54:22.275Z
sensor.exit_beamsensor_min_ms,2035,2024-12-29T00:54:45.308Z
sensor.exit_beamsensor_min_ms,35,2024-12-29T00:54:50.398Z
sensor.exit_beamsensor_min_ms,1898,2024-12-29T00:55:19.330Z
sensor.exit_beamsensor_min_ms,1902,2024-12-29T00:55:32.206Z
sensor.exit_beamsensor_min_ms,2756,2024-12-29T00:55:58.138Z
sensor.exit_beamsensor_min_ms,3321,2024-12-29T00:56:07.429Z
sensor.exit_beamsensor_min_ms,3089,2024-12-29T00:56:21.558Z
sensor.exit_beamsensor_min_ms,2990,2024-12-29T00:56:28.519Z
sensor.exit_beamsensor_min_ms,2680,2024-12-29T00:56:39.261Z
sensor.exit_beamsensor_min_ms,378,2024-12-29T00:56:41.384Z
sensor.exit_beamsensor_min_ms,2604,2024-12-29T00:57:44.426Z
sensor.exit_beamsensor_min_ms,2770,2024-12-29T00:58:02.242Z
sensor.exit_beamsensor_min_ms,2837,2024-12-29T00:58:45.339Z
sensor.exit_beamsensor_min_ms,1658,2024-12-29T00:58:51.951Z
